name,email,contact_name,phone,website,address,rating,reviews_count,categories,confidence_score,latitude,longitude,hours,enriched_at,source_search,place_id
The Harrell Law Firm,support@harrellinjurylaw.com,,+1 (551) 302-3381,https://www.harrellinjurylaw.com/?utm_source=gbplisting&utm_medium=organic&utm_campaign=North_Bergen,"8323 John F. Kennedy Blvd,North Bergen, NJ 07047",5.0,234,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:06:18.178767,672814a0b57c,ChIJdYvoQ7b3wokR4LaYureDQyM
"Legg Law Firm, LLC",contact@legglawfirm.com,,+1 (201) 943-7575,http://www.legglawfirm.com/,"1 Marine Rd Suite 207A,North Bergen, NJ 07047",4.8,24,General practice attorney,1.00,,,"{""raw"": ""Open \u22c5 Closes 9\u202fPM""}",2025-09-23T23:06:21.837434,672814a0b57c,ChIJ8ZkY-sf3wokR8ihby9I4dN0
Ibrahim & Ibrahim Law Firm,sales@iailaw.com,,+1 (855) 529-0030,https://www.iailaw.com/,"910 Bergen Ave Ste 203,Jersey City, NJ 07306",4.8,308,Family law attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:06:26.582798,672814a0b57c,ChIJ16ktuBbPw4kRYzANu-AjuMo
"Law Offices of Robert Tsigler, PLLC",law@tsiglerlaw.com,,+1 (718) 690-3834,https://www.tsiglerlaw.com/?utm_source=gmb&utm_medium=organic&utm_content=listing&utm_campaign=local,"299 Broadway #1400,New York, NY 10007",4.7,432,Criminal justice attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:06:36.667869,672814a0b57c,ChIJaT5Q3SFawokRTgzNkNDBF8s
"ILGANAYEV LAW FIRM, PLLC",ilganayev.info@ilganayevlaw.com,,+1 (646) 396-8050,http://www.ilganayevlaw.com/,"139 Fulton St Suite 801,New York, NY 10038",5.0,107,Law firm,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:06:41.850105,672814a0b57c,ChIJhVsvaxhawokRh3kl3tmb6lk
"Law Offices of Jeffrey S. Hasson, P.C.- Union City",law@hassonlawoffices.com,,+1 (201) 928-0300,https://www.hassonlawoffices.com/union-city-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"322 48th St,Union City, NJ 07087",4.6,24,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:06:51.997215,672814a0b57c,ChIJ3zR2ZxhYwokRjGcfgkPK0Rs
Law Offices of Patel & Cardenas,support@focusedlaw.com,,+1 (973) 200-1111,https://focusedlaw.com/,"574 Newark Ave Suite 307,Jersey City, NJ 07306",4.6,82,Law firm,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:06:55.603816,672814a0b57c,ChIJQUdxPbJQwokRvD7FwHHGC8Q
"Lynch Law Firm, PC",office@lynchlawyers.com,,+1 (201) 288-2022,https://www.lynchlawyers.com/,"440 NJ-17 3rd Floor,Hasbrouck Heights, NJ 07604",4.9,188,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:00.104607,672814a0b57c,ChIJ2wGLOf76wokRlSMnmcbKyeE
"The Law Offices of Michael S. Lamonsoff, PLLC",info@msllegal.com,,+1 (212) 962-1020,https://www.msllegal.com/?utm_source=GMBlisting&utm_medium=organic&utm_campaign=gmb-nyc,"32 Old Slip,New York, NY 10005",4.7,546,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:04.581914,672814a0b57c,ChIJ65ZWzxdawokRnLCEmx2Kwic
"The Law Offices Of Michael S. Discioarro, LLC",the.info@nycacslawyer.com,,+1 (917) 519-8417,https://nycacslawyer.com/,"11 Broadway #615,New York, NY 10018",4.7,73,Law firm,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:09.980635,672814a0b57c,ChIJ73yUTaxZwokR8KNH8-tna9k
"Law Offices of John M. Shari, Esq.",law@jmstransactions.com,,+1 (201) 431-6276,https://jmstransactions.com/,"50 Harrison St PH 529,Hoboken, NJ 07030",5.0,124,Law firm,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:16.294993,672814a0b57c,ChIJ-X8A_RhXwokRlxZAxWCxKwU
LaBarbiera & Martinez,sales@personalinjuryfirm.net,,+1 (201) 854-4444,http://www.personalinjuryfirm.net/,"8501 John F. Kennedy Blvd,North Bergen, NJ 07047",4.9,224,Attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-23T23:07:20.454197,672814a0b57c,ChIJLdNen8P3wokRKxj8m92twHQ
"The Law Offices of Patrick Binakis, P.C.",the@nystateforeclosuredefense.com,,+1 (718) 626-2853,http://www.nystateforeclosuredefense.com/,"28-60 31st St,Astoria, NY 11102",4.8,76,Foreclosure service,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:25.036308,672814a0b57c,ChIJ7ZPJ4xJfwokRJsF1dUDKL1U
"Kimmel & Silverman, P.C., New York Lemon Law Firm",kimmel@lemonlaw.com,,+1 (800) 536-6652,https://www.lemonlaw.com/new-york/,"1001 6th Ave 12th floor,New York, NY 10018",5.0,268,Attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:28.573140,672814a0b57c,ChIJ4Wnrt6tZwokRfAP9B1upBTM
The Law Offices of Darren T. Moore PC,support@injurylawatty.com,,+1 (917) 809-7014,https://www.injurylawatty.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing-new-york,"171 Madison Ave Suite 305,New York, NY 10016",5.0,243,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:31.994180,672814a0b57c,ChIJ6XOOD9dbwokRXxkUwoPjFX8
The Law Office of Joseph A. Rutigliano,hello@josephrutiglianolaw.com,,+1 (201) 850-1100,https://www.josephrutiglianolaw.com/,"8512 John F. Kennedy Blvd Ste 2,North Bergen, NJ 07047",4.6,55,Attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-23T23:07:36.953423,672814a0b57c,ChIJmSm5z-f3wokREjBC1d95EII
"K L Sanchez Law Office, P.C. | Construction Accident Attorney and Car Accident Lawyer",info@accidentlawyer-queens.com,,+1 (646) 701-7990,https://accidentlawyer-queens.com/,"37-06 82nd St #304,Jackson Heights, NY 11372",5.0,153,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:45.683787,672814a0b57c,ChIJ8z5Rb5xfwokRcHM3cEOs4SU
Law Offices of David A. DiBrigida,office@davidinjurylawyer.com,,+1 (888) 329-0805,https://davidinjurylawyer.com/,"419 Washington St Suite #4,Hoboken, NJ 07030",5.0,58,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:49.290497,672814a0b57c,ChIJb3S2r_xZwokRD9dkgsbBGXQ
"The Law Offices of Lloyd E. Bennett Esq., P.C.",the.info@lebpc.com,,+1 (201) 584-5196,https://www.lebpc.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Union_City&utm_id=GBP_Union_City,"4713 Bergenline Ave,Union City, NJ 07087",4.5,124,Immigration attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:53.636357,672814a0b57c,ChIJN4NCkRhYwokRIGQ-XS7MBgg
The Rothenberg Law Firm Accident And Injury Lawyers,office@injurylawyer.com,,+1 (516) 715-3658,https://injurylawyer.com/new-york/?utm_source=gmblisting&utm_medium=organic&utm_campaign=nyc,"450 7th Ave 44th floor,New York, NY 10123",4.9,325,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:07:58.885501,672814a0b57c,ChIJeXOSIKxZwokRi7j4AOfLzy8
